0 -3.1121607 0.46642372 A 1
1 -1.6667393 0.3753733 B 1
2 -0.7111994 0.89216864 C 1
3 -1.9237057 0.9651021 D 1
4 -1.5983517 1.2593782 E 1
5 -3.0084841 1.374913 F 1
6 -3.3554945 0.94409066 G 1
7 -2.720943 0.8898679 H 1
8 -2.204927 -0.115464695 I 1
9 -2.666372 -0.24459127 J 1
10 -2.3263884 1.8943795 K 1

-3.1121607 0.46642372 -3.3554945 0.94409066 6 1
-2.720943 0.8898679 -3.3554945 0.94409066 1 1
-2.204927 -0.115464695 -3.1121607 0.46642372 3 1
-2.666372 -0.24459127 -3.1121607 0.46642372 5 1
-1.6667393 0.3753733 -2.720943 0.8898679 7 0
-1.6667393 0.3753733 -2.666372 -0.24459127 2 1
-1.6667393 0.3753733 -0.7111994 0.89216864 4 1
-0.7111994 0.89216864 -1.9237057 0.9651021 3 0
-1.9237057 0.9651021 -2.3263884 1.8943795 2 1
-1.9237057 0.9651021 -1.5983517 1.2593782 2 1
-2.3263884 1.8943795 -3.0084841 1.374913 8 0
-1.5983517 1.2593782 -2.720943 0.8898679 6 0
-3.0084841 1.374913 -3.3554945 0.94409066 4 1
-1.9237057 0.9651021 -2.666372 -0.24459127 3 1
